Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
cloud,DNDT,7,"{'cut_count': 6, 'cut_size': 1, 'epochs': 45, 'lr': 0.03476501275583057, 'temprature': 0.23762934412237027, 'num_class': 2}",0.727272727,0.625,0.375,0.85,0.464285714,0.591147766,0.1999344,0.0019693
cloud,DNDT,8,"{'cut_count': 7, 'cut_size': 1, 'epochs': 41, 'lr': 0.04090971798122119, 'temprature': 0.012867942731247148, 'num_class': 2}",0.636363636,0.553571429,0.446428571,0.583333333,0.553571429,0.58697047,0.239679,0.0023612
cloud,DNDT,9,"{'cut_count': 6, 'cut_size': 1, 'epochs': 45, 'lr': 0.03476501275583057, 'temprature': 0.23762934412237027, 'num_class': 2}",0.4,0.285714286,0.714285714,0.285714286,0.5,0.523639456,0.1973371,0.0019543
cloud,LGBMClassifier,1,"{'learning_rate': 0.5437960189759015, 'max_depth': 6, 'n_estimators': 104, 'reg_lambda': 2.630878900861655, 'subsample': 0.5545462930283205, 'num_leaves': 37}",0.636363636,0.4375,0.5625,0.35,0.4375,0.504547709,0.0102896,0.0003969
cloud,LGBMClassifier,10,"{'learning_rate': 0.5914239702140656, 'max_depth': 6, 'n_estimators': 170, 'reg_lambda': 0.07177616051794189, 'subsample': 0.6216189320368324, 'num_leaves': 37}",0.4,0.285714286,0.714285714,0.285714286,0.333333333,0.467502834,0.0152375,0.0004056
cloud,LGBMClassifier,2,"{'learning_rate': 0.5694426995220867, 'max_depth': 4, 'n_estimators': 195, 'reg_lambda': 0.5782507821667493, 'subsample': 0.9637695582593697, 'num_leaves': 37}",0.545454545,0.479166667,0.520833333,0.482142857,0.458333333,0.503233225,0.0713889,0.0005183
cloud,LGBMClassifier,3,"{'learning_rate': 0.5997816477146803, 'max_depth': 6, 'n_estimators': 67, 'reg_lambda': 2.7020872469767907, 'subsample': 0.5014275209430571, 'num_leaves': 37}",0.636363636,0.4375,0.5625,0.35,0.125,0.392353595,0.0080173,0.0003813
cloud,LGBMClassifier,4,"{'learning_rate': 0.4578566310535165, 'max_depth': 3, 'n_estimators': 123, 'reg_lambda': 4.380291864409233, 'subsample': 0.8997767208035865, 'num_leaves': 37}",0.454545455,0.3125,0.6875,0.3125,0.375,0.420293335,0.0111984,0.0003907
cloud,LGBMClassifier,5,"{'learning_rate': 0.5855260720259576, 'max_depth': 7, 'n_estimators': 154, 'reg_lambda': 8.173377134356006, 'subsample': 0.6690014021921576, 'num_leaves': 37}",0.545454545,0.375,0.625,0.333333333,0.333333333,0.44485104,0.0142027,0.00041
cloud,LGBMClassifier,6,"{'learning_rate': 0.41195621720735753, 'max_depth': 6, 'n_estimators': 176, 'reg_lambda': 0.19479651823802097, 'subsample': 0.985574929520683, 'num_leaves': 37}",0.545454545,0.479166667,0.520833333,0.482142857,0.5,0.616658399,0.0160708,0.0004602
cloud,LGBMClassifier,7,"{'learning_rate': 0.4987194012367643, 'max_depth': 6, 'n_estimators': 74, 'reg_lambda': 0.13183035637853835, 'subsample': 0.7635549038733036, 'num_leaves': 37}",0.545454545,0.428571429,0.571428571,0.3,0.107142857,0.327703695,0.0829951,0.0004907
cloud,LGBMClassifier,8,"{'learning_rate': 0.22727712893202243, 'max_depth': 5, 'n_estimators': 184, 'reg_lambda': 8.178300196637514, 'subsample': 0.5018151536273716, 'num_leaves': 37}",0.636363636,0.5,0.5,0.318181818,0.410714286,0.464613611,0.0190951,0.0004908
cloud,LGBMClassifier,9,"{'learning_rate': 0.570577641092792, 'max_depth': 3, 'n_estimators': 51, 'reg_lambda': 7.27725743177325, 'subsample': 0.7050519794266569, 'num_leaves': 37}",0.6,0.428571429,0.571428571,0.333333333,0.238095238,0.370682162,0.0065266,0.0003736
cloud,PaloBst,1,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.727272727,0.5,0.5,0.363636364,0.5625,0.543039773,0.0771946,0.0208102
